Population;Precip.mean;Precip.var;Temp.mean;Temp.var;Latitude;Location;Date;Month;Male.size;Male.weight;GiftWeight;Female.size;Female.weight;MalesWithGift;MalesWithoutGift;MalesSub;Females;FemalesSub;FemalesEggsac;FemalesSpiderlings;Juveniles;TotalSpiders;Gifts;Worthless.gifts;W.gifts.prop;Prey;Sample
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2021;set;5;0.115;0.0004;4.6;0.154;3;32;21;17;15;28;5;12;133;3;3;1;227;1
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2021;oct;4.1;NA;0;4.3;NA;1;22;4;31;1;17;1;4;81;1;1;1;95;NA
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2021;nov;3.9;0.098;0.0035;3.9;0.145;7;18;1;9;0;22;3;3;63;8;5;0.63;180;NA
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2021;dec;3.9;0.08;0.0019;4.1;0.102;6;35;7;32;8;3;0;24;115;6;3;0.5;77;NA
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2022;nov;4.6;0.108;0.0034;4.6;0.166;4;3;1;12;1;7;0;2;30;4;3;0.75;3293;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2021;set;3.8;0.087;0.0014;4;0.111;5;29;19;34;6;16;0;16;125;5;4;0.8;145;1
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2021;oct;3.7;0.08;0.0024;4;0.126;14;20;8;37;5;11;0;7;102;13;4;0.31;102;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2021;nov;3.7;0.079;0.003;3.8;0.115;10;17;1;22;0;2;0;1;53;10;3;0.3;287;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2021;dec;3.7;0.047;NA;3.6;0.059;0;7;15;6;13;2;0;12;55;0;NA;NA;272;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2022;oct;4.6;0.088;0.0031;4.9;0.107;23;24;3;30;4;6;0;3;93;23;10;0.43;369;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2022;oct;4.8;0.083;0.0056;4.7;0.136;18;23;2;23;4;16;0;13;99;18;5;0.28;533;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2022;nov;4;0.079;0.0106;4.2;0.134;17;13;0;35;0;12;1;3;81;17;1;0.06;889;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2022;nov;4.1;0.081;0.0064;4.5;0.135;9;13;0;17;5;15;0;5;64;10;2;0.2;142;NA
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2021;set;4.1;0.083;0.0032;4.3;0.143;19;30;7;39;16;25;0;4;140;19;7;0.37;6;1
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2021;oct;3.6;NA;0.0025;3.8;NA;22;24;2;57;5;14;1;6;131;22;8;0.36;453;NA
