Population;Latitude;Location;Date;Month;ID;Male.size;Male.weight;GiftWeight;GiftType;Female.size;Female.weight
Xanxere;26.78;North;2021;1;1;4.8;0.098;NA;NA;4.9;0.122
Xanxere;26.78;North;2021;1;2;5.1;0.095;NA;NA;4.3;0.103
Xanxere;26.78;North;2021;1;3;5.4;0.125;NA;NA;5.1;0.18
Xanxere;26.78;North;2021;1;4;5.6;0.152;NA;NA;4.1;0.169
Xanxere;26.78;North;2021;1;5;5.4;0.119;NA;NA;5.1;0.131
Xanxere;26.78;North;2021;1;6;4.8;0.106;NA;NA;4.9;0.177
Xanxere;26.78;North;2021;1;7;5.4;0.121;NA;NA;5;0.175
Xanxere;26.78;North;2021;1;8;3.8;0.093;NA;NA;4.5;0.128
Xanxere;26.78;North;2021;1;9;5.5;0.152;NA;NA;5;0.198
Xanxere;26.78;North;2021;1;10;5;0.119;NA;NA;4.1;0.131
Xanxere;26.78;North;2021;1;11;4.4;0.106;NA;NA;5.2;0.177
Xanxere;26.78;North;2021;1;12;4.9;0.104;NA;NA;4.7;NA
Xanxere;26.78;North;2021;1;13;5.1;0.104;NA;NA;4.1;NA
Xanxere;26.78;North;2021;1;14;5.5;0.112;NA;NA;4.4;NA
Xanxere;26.78;North;2021;1;15;5.1;0.125;NA;NA;3.9;NA
Xanxere;26.78;North;2021;1;16;4.4;0.093;NA;NA;4.2;NA
Xanxere;26.78;North;2021;1;17;5;0.108;NA;NA;4.1;NA
Xanxere;26.78;North;2021;1;18;5.4;0.167;NA;NA;4.4;NA
Xanxere;26.78;North;2021;1;19;5.1;0.099;NA;NA;NA;NA
Xanxere;26.78;North;2021;1;20;4.6;0.113;NA;NA;NA;NA
Xanxere;26.78;North;2021;1;21;4.4;0.108;0.0005;1;NA;NA
Xanxere;26.78;North;2021;1;22;5.7;0.101;0.0001;1;NA;NA
Xanxere;26.78;North;2021;1;23;5;0.127;0.0005;1;NA;NA
Xanxere;26.78;North;2021;2;1;4.7;NA;NA;NA;4.2;NA
Xanxere;26.78;North;2021;2;2;3.9;NA;NA;NA;4.6;NA
Xanxere;26.78;North;2021;2;3;4.4;NA;NA;NA;4.4;NA
Xanxere;26.78;North;2021;2;4;4;NA;NA;NA;4.2;NA
Xanxere;26.78;North;2021;2;5;4.1;NA;NA;NA;4.7;NA
Xanxere;26.78;North;2021;2;6;4;NA;NA;NA;3.9;NA
Xanxere;26.78;North;2021;2;7;4.2;NA;NA;NA;4.8;NA
Xanxere;26.78;North;2021;2;8;3.9;NA;NA;NA;4.7;NA
Xanxere;26.78;North;2021;2;9;4.1;NA;NA;NA;4.2;NA
Xanxere;26.78;North;2021;2;10;4.2;NA;NA;NA;3.9;NA
Xanxere;26.78;North;2021;2;11;3.8;NA;NA;NA;4.4;NA
Xanxere;26.78;North;2021;2;12;3.9;NA;NA;NA;3.6;NA
Xanxere;26.78;North;2021;2;13;4.1;NA;NA;NA;3.4;NA
Xanxere;26.78;North;2021;2;14;3.9;NA;NA;NA;4.2;NA
Xanxere;26.78;North;2021;2;15;3.8;NA;NA;NA;4.8;NA
Xanxere;26.78;North;2021;2;16;4.3;NA;NA;NA;4.3;NA
Xanxere;26.78;North;2021;2;17;4.2;NA;NA;NA;4;NA
Xanxere;26.78;North;2021;2;18;4;NA;NA;NA;4;NA
Xanxere;26.78;North;2021;2;19;4.1;NA;NA;NA;4.9;NA
Xanxere;26.78;North;2021;2;20;4.1;NA;NA;NA;4.4;NA
Xanxere;26.78;North;2021;2;21;3.7;NA;0;1;NA;NA
Xanxere;26.78;North;2021;3;1;3.6;0.064;NA;NA;4.1;0.121
Xanxere;26.78;North;2021;3;2;4.4;0.119;NA;NA;3.9;0.163
Xanxere;26.78;North;2021;3;3;3.8;0.091;NA;NA;4;0.124
Xanxere;26.78;North;2021;3;4;4;0.077;NA;NA;3.7;0.168
Xanxere;26.78;North;2021;3;5;3.5;0.071;NA;NA;3.4;0.18
Xanxere;26.78;North;2021;3;6;3.6;0.09;NA;NA;4.1;0.094
