Location;Latitude;W.gifts.prop;Precip.var;Group;MaleID;Male.size;FemaleID;Female.size;WrapDur;WrapNum;Mate;InsDur;InsNum
North;26.78;0.68;0.883;Nutritive;22;3.6;24;4.2;1.6;1;1;1.2;2
North;26.78;0.68;0.883;Nutritive;81;3.9;83;3.7;1.4;1;1;1.1;2
North;26.78;0.68;0.883;Nutritive;82;4;16;3.6;1.4;2;1;0.5;1
North;26.78;0.68;0.883;Nutritive;105;4.1;36;3.6;2.4;1;0;NA;NA
North;26.78;0.68;0.883;Nutritive;106;3.6;103;4.1;0.9;1;1;0.5;4
North;26.78;0.68;0.883;Nutritive;107;4;23;3.7;0.6;1;0;NA;NA
North;26.78;0.68;0.883;Nutritive;115;3.5;114;3.6;1.2;1;1;0.6;1
North;26.78;0.68;0.883;Nutritive;123;3.8;119;3.7;3.3;3;1;2.5;3
North;26.78;0.68;0.883;Nutritive;125;4.2;120;3.7;0.5;1;1;1.6;2
North;26.78;0.68;0.883;Worthless;6;3.7;30;3.6;2;1;1;0.6;3
North;26.78;0.68;0.883;Worthless;7;3.7;37;3.8;1.2;1;1;0.3;1
North;26.78;0.68;0.883;Worthless;11;4.1;10;3.5;2.9;2;1;2.1;NA
North;26.78;0.68;0.883;Worthless;21;3.8;40;3.9;1;1;1;2.9;3
North;26.78;0.68;0.883;Worthless;111;4.2;121;4;1.9;2;0;NA;NA
North;26.78;0.68;0.883;Worthless;124;3.6;104;3.6;4.9;2;1;3.3;3
North;26.78;0.68;0.883;Worthless;131;NA;134;4.2;1.6;1;1;1.8;3
Center-North;29.56;0.3;0.425;Nutritive;49;3.2;64;3.3;4.9;3;0;NA;NA
Center-North;29.56;0.3;0.425;Nutritive;55;3.2;48;3.8;2.9;1;1;0.9;4
Center-North;29.56;0.3;0.425;Nutritive;59;3.4;145;3.9;10.1;6;1;0.4;4
Center-North;29.56;0.3;0.425;Nutritive;65;4.8;149;3.8;0.4;1;0;NA;NA
Center-North;29.56;0.3;0.425;Nutritive;71;3.4;88;4.2;2.2;1;1;1.8;2
Center-North;29.56;0.3;0.425;Nutritive;73;3.6;62;3.7;7.1;5;1;0.6;3
Center-North;29.56;0.3;0.425;Nutritive;80;3.2;44;3.9;2.2;1;1;0.5;1
